instancia_id,algoritmo,heuristica,encontrado,pasos,tiempo_ms,nodos_expandidos,nodos_generados,memoria_max
15,a_estrella,h6_w1.0,True,25,108.879,1854,2967,2918
16,codicioso,h1,True,48,24.671,255,432,423
16,a_estrella,h1,True,26,1608.09,35614,56569,53138
16,codicioso,h2,True,46,13.637,319,547,541
16,a_estrella,h2,True,26,26.85,690,1071,1051
16,codicioso,h3,True,36,2.991,54,87,87
16,a_estrella,h3,True,26,22.123,374,587,582
16,codicioso,h4,True,44,4.085,64,112,112
16,a_estrella,h4,True,26,8.068,132,211,210
16,codicioso,h5,True,26,1.157,27,45,45
16,a_estrella,h5,True,26,2.857,51,87,86
16,codicioso,h6_w0.3,True,72,20.73,474,805,793
16,a_estrella,h6_w0.3,True,26,512.998,10639,17235,16703
16,codicioso,h6_w0.6,True,72,18.709,430,735,727
16,a_estrella,h6_w0.6,True,26,144.908,3229,5116,4982
16,codicioso,h6_w1.0,True,46,14.989,319,547,541
16,a_estrella,h6_w1.0,True,26,28.367,690,1071,1051
17,codicioso,h1,True,36,27.724,760,1266,1240
17,a_estrella,h1,True,18,58.09,1573,2647,2579
17,codicioso,h2,True,20,1.956,41,76,76
17,a_estrella,h2,True,18,18.292,430,704,690
17,codicioso,h3,True,20,3.864,46,83,83
17,a_estrella,h3,True,18,19.003,299,498,492
17,codicioso,h4,True,20,3.108,46,83,83
17,a_estrella,h4,True,18,20.719,286,474,468
17,codicioso,h5,True,20,2.76,31,56,56
17,a_estrella,h5,True,18,4.821,66,113,113
17,codicioso,h6_w0.3,True,20,6.651,62,110,109
17,a_estrella,h6_w0.3,True,18,37.059,799,1333,1304
17,codicioso,h6_w0.6,True,20,1.922,49,85,84
17,a_estrella,h6_w0.6,True,18,21.825,519,859,839
17,codicioso,h6_w1.0,True,20,1.683,41,76,76
17,a_estrella,h6_w1.0,True,18,17.093,430,704,690
18,codicioso,h1,True,35,20.062,587,1011,988
18,a_estrella,h1,True,21,220.002,5977,9939,9603
18,codicioso,h2,True,49,14.315,370,636,630
18,a_estrella,h2,True,21,38.38,938,1528,1497
18,codicioso,h3,True,41,4.887,83,145,145
18,a_estrella,h3,True,21,39.422,606,994,979
18,codicioso,h4,True,41,5.517,83,145,145
18,a_estrella,h4,True,21,35.124,523,873,864
18,codicioso,h5,True,37,3.719,90,153,152
18,a_estrella,h5,True,21,3.86,92,166,166
18,codicioso,h6_w0.3,True,53,23.269,490,827,816
18,a_estrella,h6_w0.3,True,21,111.909,2489,4114,4003
18,codicioso,h6_w0.6,True,53,18.445,352,593,590
18,a_estrella,h6_w0.6,True,21,58.982,1364,2238,2189
18,codicioso,h6_w1.0,True,49,16.054,370,636,630
18,a_estrella,h6_w1.0,True,21,37.798,938,1528,1497
19,codicioso,h1,True,55,48.722,1349,2244,2182
19,a_estrella,h1,True,19,82.936,2302,3807,3715
19,codicioso,h2,True,41,14.319,356,621,615
19,a_estrella,h2,True,19,15.065,358,585,579
19,codicioso,h3,True,35,5.258,88,153,152
19,a_estrella,h3,True,19,15.068,226,368,364
19,codicioso,h4,True,25,3.464,52,92,92
19,a_estrella,h4,True,19,15.797,207,338,334
19,codicioso,h5,True,19,0.901,20,37,37
19,a_estrella,h5,True,19,1.687,28,51,51
19,codicioso,h6_w0.3,True,55,16.054,352,596,588
19,a_estrella,h6_w0.3,True,19,43.6,935,1553,1520
19,codicioso,h6_w0.6,True,63,17.195,353,605,599
19,a_estrella,h6_w0.6,True,19,19.341,479,781,764
19,codicioso,h6_w1.0,True,41,16.732,356,621,615
19,a_estrella,h6_w1.0,True,19,15.522,358,585,579
20,codicioso,h1,True,44,29.42,667,1126,1106
20,a_estrella,h1,True,22,303.413,7936,13091,12670
20,codicioso,h2,True,56,10.614,285,480,477
20,a_estrella,h2,True,22,41.084,1037,1694,1667
20,codicioso,h3,True,36,5.58,97,163,163
20,a_estrella,h3,True,22,32.408,575,927,915
20,codicioso,h4,True,28,3.455,53,92,92
20,a_estrella,h4,True,22,22.445,361,590,584
20,codicioso,h5,True,24,1.288,29,55,55
20,a_estrella,h5,True,22,3.353,61,111,111
20,codicioso,h6_w0.3,True,72,18.647,444,749,744
20,a_estrella,h6_w0.3,True,22,142.496,3143,5179,5051
20,codicioso,h6_w0.6,True,64,14.123,324,553,550
20,a_estrella,h6_w0.6,True,22,66.229,1621,2653,2598
20,codicioso,h6_w1.0,True,56,11.54,285,480,477
20,a_estrella,h6_w1.0,True,22,49.8,1037,1694,1667
21,codicioso,h1,True,48,38.708,889,1513,1482
21,a_estrella,h1,True,26,1637.511,38218,60482,56520
21,codicioso,h2,True,56,9.946,264,444,441
21,a_estrella,h2,True,26,152.251,3543,5680,5556
